scenario,metric,significant_impact_fp,total_comparisons,significant_impact_fp_rate,ttest_fp,ttest_fp_rate,max_significant_impact_bound
Benchmarks.Trace.Log4netBenchmark.EnrichedLog net472,throughput,5,55,9.090909091,43,78.18181818,2.41435771
Benchmarks.Trace.SerilogBenchmark.EnrichedLog net6.0,execution_time,5,55,9.090909091,13,23.63636364,4.584130141
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleMoreComplexBody net472,throughput,4,55,7.272727273,38,69.09090909,2.503194792
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeArgs netcoreapp3.1,throughput,4,55,7.272727273,18,32.72727273,2.918022944
Benchmarks.Trace.Asm.AppSecEncoderBenchmark.EncodeLegacyArgs net472,throughput,4,55,7.272727273,45,81.81818182,2.359239428
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSlice net472,throughput,4,55,7.272727273,38,69.09090909,3.281710358
Benchmarks.Trace.DbCommandBenchmark.ExecuteNonQuery net472,throughput,4,55,7.272727273,44,80,2.205325136
Benchmarks.Trace.RedisBenchmark.SendReceive net472,throughput,4,55,7.272727273,35,63.63636364,2.295596333
Benchmarks.Trace.TraceAnnotationsBenchmark.RunOnMethodBegin net472,throughput,4,55,7.272727273,43,78.18181818,2.603240691
Benchmarks.Trace.ActivityBenchmark.StartStopWithChild netcoreapp3.1,throughput,3,55,5.454545455,34,61.81818182,2.586847144
Benchmarks.Trace.AgentWriterBenchmark.WriteAndFlushEnrichedTraces netcoreapp3.1,throughput,3,55,5.454545455,29,52.72727273,2.646003043
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearchAsync net6.0,throughput,3,55,5.454545455,10,18.18181818,3.254237536
Benchmarks.Trace.GraphQLBenchmark.ExecuteAsync net472,throughput,3,55,5.454545455,28,50.90909091,2.651999447
Benchmarks.Trace.SerilogBenchmark.EnrichedLog netcoreapp3.1,throughput,3,55,5.454545455,31,56.36363636,3.02542537
Benchmarks.Trace.SpanBenchmark.StartFinishScope net6.0,execution_time,3,55,5.454545455,11,20,4.805880802
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleSimpleBody net6.0,execution_time,2,55,3.636363636,9,16.36363636,2.201385453
Benchmarks.Trace.AspNetCoreBenchmark.SendRequest net472,throughput,2,55,3.636363636,33,60,2.021098493
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatAspectBenchmark net472,execution_time,2,55,3.636363636,18,32.72727273,2.888141149
Benchmarks.Trace.Iast.StringAspectsBenchmark.StringConcatAspectBenchmark net472,throughput,2,55,3.636363636,19,34.54545455,3.012911597
Benchmarks.Trace.SingleSpanAspNetCoreBenchmark.SingleSpanAspNetCore net472,throughput,2,55,3.636363636,46,83.63636364,2.133831837
Benchmarks.Trace.SingleSpanAspNetCoreBenchmark.SingleSpanAspNetCore net6.0,execution_time,2,55,3.636363636,13,23.63636364,3.648132148
Benchmarks.Trace.SpanBenchmark.StartFinishScope net6.0,throughput,2,55,3.636363636,7,12.72727273,3.486199336
Benchmarks.Trace.SpanBenchmark.StartFinishScope netcoreapp3.1,throughput,2,55,3.636363636,40,72.72727273,2.491503439
Benchmarks.Trace.SpanBenchmark.StartFinishSpan net472,throughput,2,55,3.636363636,37,67.27272727,2.658159667
Benchmarks.Trace.TraceAnnotationsBenchmark.RunOnMethodBegin netcoreapp3.1,throughput,2,55,3.636363636,33,60,2.867408416
Benchmarks.Trace.ActivityBenchmark.StartStopWithChild net472,throughput,1,55,1.818181818,43,78.18181818,2.278156622
Benchmarks.Trace.Asm.AppSecBodyBenchmark.AllCycleSimpleBody net6.0,throughput,1,55,1.818181818,7,12.72727273,2.644100991
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSlice netcoreapp3.1,execution_time,1,55,1.818181818,38,69.09090909,2.267286761
